metric_name,metric_id,numerator_observations,denominator_observations,numerator_uniq,denominator_uniq,numerator_threshold,denominator_threshold,date_filter,num_sources,den_sources,sources
appcall_success_per_pv_btn_user,72387750044,"appcall_bx_outgoing_item_success,appcall_bx_outgoing_item_gallery_success",phone_view_button_clicks,participant,participant,0,0,,app_calls_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,app_calls_metric_observation"
avg_item_address_length,53780750001,item_address_length,item_with_address_string,,,0,0,,item_geo_metric_observation,item_geo_metric_observation,"item_geo_metric_observation,item_geo_metric_observation"
btc_from_witcher_new_flats_per_witcher_new_flats,84578500004,buyer_target_clicks_witcher_new_flats,searches_witcher_new_flats,,,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
buyer_favouriteseller_add_from_shop,12721250003,buyer_favouriteseller_add_from_shop,,,,0,0,,click_stream_metric_observation,,click_stream_metric_observation
classified_price_net_adj,4927250005,"ext_amount_net_adj,vas_amount_net_adj,lf_amount_net_adj,subs_amount_net_adj","vas_transactions,subs_transactions,ext_transactions,lf_transactions",,,0,0,,b2b_core_daily_metric_observation,"b2b_core_daily_metric_observation,mnz_vas_metric_observation","b2b_core_daily_metric_observation,mnz_vas_metric_observation,b2b_core_daily_metric_observation"
classified_transactions_per_user,4927250007,"lf_transactions,vas_transactions,ext_transactions,subs_transactions","subs_users,vas_users,ext_users,lf_users",,,0,0,,"b2b_core_daily_metric_observation,mnz_vas_metric_observation",b2b_core_daily_metric_observation,"b2b_core_daily_metric_observation,b2b_core_daily_metric_observation,mnz_vas_metric_observation"
contacts_delivery,28301750005,contacts_delivery,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
contacts_on_rating_share,74850250007,"contacts_on_rating_5,contacts_on_rating_3,contacts_on_rating_4,contacts_on_rating_1,contacts_on_rating_2",contacts,,,0,0,,ratings_metric_observation,,ratings_metric_observation
content_paint_session_percent_p75,42205500003,content_paint_session_events_p75,content_paint_session_events,,,0,0,,web_performance_metric_observation,web_performance_metric_observation,"web_performance_metric_observation,web_performance_metric_observation"
delivery_category_deals,4921000006,delivery_category_deals,,,,0,0,,delivery_metric_observation,,delivery_metric_observation
delivery_revenue_per_deal,6450250002,delivery_revenue,buyer_delivery_deals,,,0,0,,delivery_metric_observation,delivery_metric_observation,"delivery_metric_observation,delivery_metric_observation"
delivery_total_widget_contact_ratio,2820500028,total_delivery_contact,total_delivery_widget,,,0,0,,delivery_metric_observation,delivery_metric_observation,"delivery_metric_observation,delivery_metric_observation"
domofond_amount_net_adj,4927250010,domofond_amount_net_adj,,,,0,0,,b2b_core_daily_metric_observation,,b2b_core_daily_metric_observation
draw_percent_exceptions,25067250004,draw_exceptions,"draw_exceptions,draw_events",,,0,0,,new_performance_metric_observation,new_performance_metric_observation,"new_performance_metric_observation,new_performance_metric_observation"
enter_start,69868500001,enter_start,,,,0,0,,cookie_account_enter,,cookie_account_enter
extensions_transactions,4927250014,ext_transactions,,,,0,0,,b2b_core_daily_metric_observation,,b2b_core_daily_metric_observation
fav_added_rec_vip,34018750036,fav_added_rec_vip,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
image_draw_appstart_p25,89921000004,image_draw_appstart_events_p25,image_draw_appstart_events,,,0,0,,image_metric_observation,image_metric_observation,"image_metric_observation,image_metric_observation"
image_load_exceptions,89921000016,image_load_exceptions,,,,0,0,,image_metric_observation,,image_metric_observation
item_views_rec_vas_per_item_views_rec,47079750006,item_views_rec_vas,item_views_rec,,,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
item_views_rec_vip,34018750048,item_views_rec_vip,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
item_views_serp_district,33695500021,item_views_serp_district,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
item_views_serp_radius,33695500025,item_views_serp_radius,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
items_100m_from_location,53780750006,item_100m_from_location,,,,0,0,,item_geo_metric_observation,,item_geo_metric_observation
items_200_plus_km_from_location_new,53780750012,item_200_plus_km_from_location_new,,,,0,0,,item_geo_metric_observation,,item_geo_metric_observation
items_20m_from_location_reactivated,53780750019,item_20m_from_location_reactivated,,,,0,0,,item_geo_metric_observation,,item_geo_metric_observation
