obs,source
item_has_building_reactivated,item_geo_metric_observation
btc_serp_default_sort,search_stream_metric_observation
favorites_removed,search_stream_metric_observation
dom_content_load_events,web_performance_metric_observation
item_with_coordinates_reactivated,item_geo_metric_observation
map_searches_to_btc_map,map_stream_metric_observation
request_duration,web_performance_metric_observation
buyer_target_clicks_serp_road,search_stream_metric_observation
appcall_sx_incoming_deeplink_call_back,app_calls_metric_observation
initial_pages_finished_events_catalog,web_speed_metric_observartion
items_rejected_wrong_cat,sellerx_metric_observation_w_startdate
delivery_contact,delivery_metric_observation
fatal_app_error,click_stream_metric_observation
searches_witcher_new_flats_with_contact,search_stream_metric_observation
ext_transactions,b2b_core_daily_metric_observation
contacts_on_rating_1,ratings_metric_observation
searches_saved,search_stream_metric_observation
appcall_bx_outgoing_messenger_call_back_success,app_calls_metric_observation
sqp_wordbreaker_replace,click_stream_metric_observation
di_sessions_p50,new_performance_metric_observation
item_with_coordinates,item_geo_metric_observation
traffic_daily.other.item_add_vin_recognition_response,click_stream_metric_observation
fav_added_vas,search_stream_metric_observation
location_dialogue_savings,location_changings_metric_observation
ad_item_views,ad_metric_observation
base_serp_without_query_empty,search_stream_metric_observation
init_session_duration_events,new_performance_metric_observation
performance_time_to_content_channels,app_performance_metric_observation
connection_events_p75,web_performance_metric_observation
from_session_start_to_c_map_p99,labor_metric_observation
appcall_bx_incoming_deeplink_call_back_success,app_calls_metric_observation
traffic_daily.page_view.account_history,click_stream_metric_observation
lf_amount_net_listing_from_package,lf_metric_observation
item_no_coordinates_new,item_geo_metric_observation
prepare_sessions_p25,new_performance_metric_observation
init_events_p95,new_performance_metric_observation
vas_amount_x2_1,mnz_vas_metric_observation
vas_amount_x2_7,mnz_vas_metric_observation
sqp_layout_disabled,click_stream_metric_observation
init_duration_events,new_performance_metric_observation
sqp_wordbreaker_digit_replace,click_stream_metric_observation
serverloading_sessions_p75,new_performance_metric_observation
item_with_address_string_reactivated,item_geo_metric_observation
closed_items_from_messenger,messenger_metric_observation
price_filters_map_searches,map_stream_metric_observation
contacts_serp_road,search_stream_metric_observation
traffic_daily.other.messenger_chat_list_show,click_stream_metric_observation
vas_transactions_premium,mnz_vas_metric_observation
location_changings_suspicious_russia,location_changings_metric_observation
item_views,search_stream_metric_observation
searches_extra_regions,search_stream_metric_observation
vas_amount_net_x5_1,mnz_vas_metric_observation
realty_development_views,click_stream_metric_observation
traffic_daily.other.user_registration_conflict_uids_page,click_stream_metric_observation
appcall_bx_incoming_deeplink_call_back_answered,app_calls_metric_observation
contacts_rec,search_stream_metric_observation
item_has_marginal_address,item_geo_metric_observation
dom_load_session_events_p75,web_performance_metric_observation
init_sessions,new_performance_metric_observation
time_to_on_load,web_speed_metric_observartion
item_added_chains_3_6min,sellerx_metric_observation_w_startdate
seller_has_rating_3,ratings_logcat_metric_observation
buyer_target_clicks_rec_i2i_premium,search_stream_metric_observation
chat_views,messenger_metric_observation
btc_pro_image,search_stream_metric_observation
contacts_rec_u2i_vas,search_stream_metric_observation
favorite_search_view_events,avitopro_tmp_metric_observation
city_level_searches,geo_searches_metric_observation
appcall_bx_incoming_notification_call_back_success,app_calls_metric_observation
map_searches_to_contact,labor_metric_observation
tariff_amount_base,lf_metric_observation
init_appstart_sessions_p25,new_performance_metric_observation
app_cache_events_p75,web_performance_metric_observation
restore_start,cookie_account_enter
localloading_sessions,new_performance_metric_observation
searches_saved_with_contact,search_stream_metric_observation
seller_payout_fee,str_metric_observation
buyer_target_clicks_rec_push,search_stream_metric_observation
localloading_appstart_sessions_p75,new_performance_metric_observation
successful_payment_SBOL,billing_metric_observation
item_views_total_push,search_stream_metric_observation
users_avitopro,avitopro_key_actions_observations
buyer_target_clicks_serp_map_area,search_stream_metric_observation
location_changings_bad_city,location_changings_metric_observation
performance_exceptions_count_authorization,app_performance_metric_observation
dom_interactive_duration,web_performance_metric_observation
new_items_more_40_description_word,sellerx_metric_observation_w_startdate
item_has_city_new,item_geo_metric_observation
searches_contact_vip,search_stream_metric_observation
performance_events_count_authorization,app_performance_metric_observation
prepare_appstart_sessions,new_performance_metric_observation
appcall_sx_outgoing_messenger_call_back_answered,app_calls_metric_observation
total_item_on_delivery,delivery_metric_observation
total_str_click,str_metric_observation
tooltip_accepts_russia,location_changings_metric_observation
searches_date_sort,search_stream_metric_observation
traffic_daily.page_view.item_close,click_stream_metric_observation
item_views_delivery,search_stream_metric_observation
traffic_daily.other.deleted_item_restore,click_stream_metric_observation
search_btc_push,search_stream_metric_observation
initial_pages_finished_events,web_speed_metric_observartion
performance_measures_count_account,app_performance_metric_observation
anon_calls_matched_any_type,matched_anonymous_calls_metric_observation
wallet_view_events,avitopro_tmp_metric_observation
traffic_daily.contact.messenger_ampq_message_via_assistant,click_stream_metric_observation
missed_proxy_calls_serp,matched_anonymous_calls_metric_observation
items_edited_photo_add,sellerx_metric_observation_w_startdate
traffic_daily.contact.delivery_order_create,click_stream_metric_observation
redirect_events_p50,web_performance_metric_observation
item_no_city_new,item_geo_metric_observation
radius_500_searches,geo_searches_metric_observation
location_changings_russia_region,location_changings_metric_observation
pins_zoom_levels,map_stream_metric_observation
searches_witcher_regions_with_contact,search_stream_metric_observation
dom_interactive_duration_events,web_performance_metric_observation
shows_item_view_recblock,search_stream_metric_observation
appcall_sx_incoming_item_answered,app_calls_metric_observation
on_load_events_p50,web_performance_metric_observation
anon_calls_matched_by_phone_and_user_map,matched_anonymous_calls_metric_observation
di_appstart_sessions_p25,new_performance_metric_observation
secure_connection_events_p50,web_performance_metric_observation
vas_amount_net_highlight,mnz_vas_metric_observation
active_items_more_5_photo,sellerx_metric_observation_w_startdate
appcall_sx_outgoing_deeplink_call_back_success,app_calls_metric_observation
draw_appstart_sessions_p95,new_performance_metric_observation
item_no_city,item_geo_metric_observation
appcall_bx_outgoing_messenger_chat_menu,app_calls_metric_observation
performance_measures_count_favorite_items,app_performance_metric_observation
express_cv_form_open,express_cv_metric_observation
searches_witcher_new_auto_with_contact,search_stream_metric_observation
draw_sessions_p75,new_performance_metric_observation
search_corrections_disabled,click_stream_metric_observation
redirect_events_p75,web_performance_metric_observation
appcall_sx_outgoing_call_log_callback_answered,app_calls_metric_observation
appcall_bx_outgoing_messenger_call_back_answered,app_calls_metric_observation
capital_city_level_searches,geo_searches_metric_observation
