,metric_name,metric_id,numerator_observations,denominator_observations,numerator_uniq,denominator_uniq,numerator_threshold,denominator_threshold,date_filter,num_sources,den_sources,sources
0,anonnumber_users,5906250017,anonnumber_calls,,participant,,0,0,,communications_metric_observation,,communications_metric_observation
1,appcall_per_pv_btn_user,72387750039,"appcall_bx_outgoing_item,appcall_bx_outgoing_item_gallery",phone_view_button_clicks,participant,participant,0,0,,app_calls_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,app_calls_metric_observation"
2,async_target_content_dur,12310250001,time_for_async_target_content,initial_pages_finished_events_main,,,0,0,,,web_speed_metric_observartion,web_speed_metric_observartion
3,avg_item_address_length_react,53780750003,item_address_length_reactivated,item_with_address_string_reactivated,,,0,0,,item_geo_metric_observation,item_geo_metric_observation,"item_geo_metric_observation,item_geo_metric_observation"
4,avitopro_item_edit,20520500009,avitopro_item_edit,,participant,,0,0,,avitopro_key_actions_observations,,avitopro_key_actions_observations
5,avitopro_vas_amount,6122750014,avitopro_vas_amount,,,,0,0,,avitopro_tmp_metric_observation,,avitopro_tmp_metric_observation
6,btc_from_witcher_new_auto_per_witcher_new_auto,84578500002,buyer_target_clicks_witcher_new_auto,searches_witcher_new_auto,,,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
7,btc_serp_query,38927500004,btc_serp_query,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
8,calls_serp,24164500009,"answered_proxy_calls_serp,missed_proxy_calls_serp",,,,0,0,,matched_anonymous_calls_metric_observation,,matched_anonymous_calls_metric_observation
9,contacts_on_rating_1,74850250002,contacts_on_rating_1,,,,0,0,,ratings_metric_observation,,ratings_metric_observation
10,contacts_rec_i2i_premium,34018750013,contacts_rec_i2i_premium,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
11,default_loc_tooltip_city_share,33620750004,tooltip_opens_city,tooltip_opens,,,0,0,,location_changings_metric_observation,location_changings_metric_observation,"location_changings_metric_observation,location_changings_metric_observation"
12,delivery_seller_vas_spend_amount,2820500024,delivery_seller_vas_spend_amount,,,,0,0,,delivery_metric_observation,,delivery_metric_observation
13,delivery_total_view_delivery_click_ratio,2820500027,total_delivery_click,delivery_total_item_view,,,0,0,,delivery_metric_observation,delivery_metric_observation,"delivery_metric_observation,delivery_metric_observation"
14,delivery_widget_contact_ratio,2820500031,delivery_contact,delivery_widget,,,0,0,,delivery_metric_observation,delivery_metric_observation,"delivery_metric_observation,delivery_metric_observation"
15,draw_appstart_session_duration,76203750001,draw_appstart_session_duration,draw_appstart_session_duration_events,,,0,0,,new_performance_metric_observation,new_performance_metric_observation,"new_performance_metric_observation,new_performance_metric_observation"
16,fav_added_rec_i2i,2963250005,fav_added_rec_i2i,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
17,fav_added_rec_per_rec_block,1898250041,fav_added_rec,recblock_shows,,,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
18,fav_added_searches_u2i,34568000003,fav_added_searches_u2i,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
19,fav_added_serp_radius,33695500019,fav_added_serp_radius,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
20,first_response_messages,4873000013,first_response_messages,,,,0,0,,messenger_metric_observation,,messenger_metric_observation
21,init_percent_p25,25067250009,init_events_p25,init_events,,,0,0,,new_performance_metric_observation,new_performance_metric_observation,"new_performance_metric_observation,new_performance_metric_observation"
22,item_views_client,17560250001,item_views_client,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
23,item_views_total_push,34217500005,item_views_total_push,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
24,items_20m_from_location_new_per_new,53780750018,item_20m_from_location_new,items_started,,,0,0,,item_geo_metric_observation,sellerx_metric_observation_w_startdate,"sellerx_metric_observation_w_startdate,item_geo_metric_observation"
25,items_no_address_id_new,53780750024,item_no_address_id_new,,,,0,0,,item_geo_metric_observation,,item_geo_metric_observation
26,items_sold_another_reason_start_date,11655250012,items_sold_another_reason,,,,0,0,start,sellerx_metric_observation_w_startdate,,sellerx_metric_observation_w_startdate
27,items_sold_notonavito,6008250003,items_sold_notonavito,,,,0,0,,sellerx_metric_observation_w_startdate,,sellerx_metric_observation_w_startdate
28,listings_number,38264750007,listings,,,,0,0,,lf_metric_observation,,lf_metric_observation
29,loc_chng_city_russia,38199250001,location_changings_city_russia,,,,0,0,,location_changings_metric_observation,,location_changings_metric_observation
30,map_users,4578000004,map_searches,,participant,,0,0,,map_stream_metric_observation,,map_stream_metric_observation
31,new_items_more_5_photo,69347250024,new_items_more_5_photo,,,,0,0,,sellerx_metric_observation_w_startdate,,sellerx_metric_observation_w_startdate
32,notifications_view_events,6122750030,notifications_view_events,,,,0,0,,avitopro_tmp_metric_observation,,avitopro_tmp_metric_observation
33,phone_views_total_push,34217500009,phone_views_total_push,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
34,prepare_duration,31579000007,prepare_duration,prepare_duration_events,,,0,0,,new_performance_metric_observation,new_performance_metric_observation,"new_performance_metric_observation,new_performance_metric_observation"
35,processing_percent_p75,38793750046,processing_events_p75,processing_events,,,0,0,,web_performance_metric_observation,web_performance_metric_observation,"web_performance_metric_observation,web_performance_metric_observation"
36,public_profile_unique_views,2591000006,public_profile_unique_views,,,,0,0,,public_profile_metric_observation,,public_profile_metric_observation
37,re_main_pages,1898250063,re_main_pages,,,,0,0,,click_stream_metric_observation,,click_stream_metric_observation
38,request_response_percent_p50,38793750060,request_response_events_p50,request_response_events,,,0,0,,web_performance_metric_observation,web_performance_metric_observation,"web_performance_metric_observation,web_performance_metric_observation"
39,request_response_percent_p95,38793750062,request_response_events_p95,request_response_events,,,0,0,,web_performance_metric_observation,web_performance_metric_observation,"web_performance_metric_observation,web_performance_metric_observation"
40,s_btc_per_s,67343000001,search_btc,searches,,,0,0,,search_stream_metric_observation,search_stream_metric_observation,"search_stream_metric_observation,search_stream_metric_observation"
41,search_suggest_clicks,4873000027,search_suggest_clicks,,participant,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
42,searches_contact_any_ext_block,74403750006,"searches_contact_regions,searches_contact_delivery",,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
43,searches_district_with_item_view,33695500035,searches_district_with_item_view,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
44,searches_item_view_delivery,28301750021,searches_item_view_delivery,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
45,searches_road_with_contact,33695500059,searches_road_with_contact,,,,0,0,,search_stream_metric_observation,,search_stream_metric_observation
46,selected_payment_method_share_proportion_cv,4300000008,payment_method_choice_CV,payment_method_page_CV,participant,participant,0,0,,billing_metric_observation,billing_metric_observation,"billing_metric_observation,billing_metric_observation"
47,serverloading_session_duration,31579000010,serverloading_session_duration,serverloading_session_duration_events,,,0,0,,new_performance_metric_observation,new_performance_metric_observation,"new_performance_metric_observation,new_performance_metric_observation"
